wp_id,x,y,z,yaw,velocity,change_flag
45,54.42914963,9.50872803,1.82448864,0.449118233001746,16,0
46,55.83773804,10.20290661,1.91065013,0.457886008755576,16,0
47,57.23310089,10.92760181,1.98250794,0.479015127829878,16,0
48,58.41818237,11.56794739,2.03763723,0.49539558573678,16,0
49,59.79002762,12.33495808,2.10027456,0.509809589078397,24,0
50,61.15248871,13.13725567,2.15572119,0.532187373814587,24,0
51,62.49534988,13.95917511,2.20392632,0.549244230194617,24,0
52,63.64958572,14.68226528,2.24445534,0.559653233875336,24,0
53,64.98058319,15.55013847,2.28578687,0.577813039699653,24,0
54,66.12467957,16.29855728,2.32052565,0.579292086212411,24,0
55,67.24793243,17.06909752,2.35014009,0.601261271483618,24,0
56,68.3837204,17.84129906,2.39300847,0.59709580987121,24,0
57,69.5275116,18.60498428,2.42428637,0.588703034826938,24,0
58,70.66337585,19.38132668,2.46230626,0.599553600650029,24,0
59,71.81281281,20.15972328,2.50021076,0.595258245416776,24,0
60,72.95742035,20.93876266,2.54320025,0.597598464128797,24,0
61,73.91566467,21.58977318,2.57830787,0.596751499849518,24,0
62,75.06248474,22.37162018,2.61728191,0.598373786561719,24,0
63,76.40901184,23.28076744,2.64763474,0.59387285175002,24,0
64,77.56464386,24.06745148,2.6752274,0.597681968553428,24,0
65,78.52825928,24.72198486,2.70219374,0.596661923582503,24,0
66,79.69548798,25.51015091,2.73307538,0.593918375877845,24,0
67,80.87595367,26.30744171,2.76393533,0.594026897588108,24,0
68,82.03990936,27.10197449,2.78920937,0.598962152607768,24,0
69,83.01247406,27.76905251,2.8196609,0.601197189957851,24,0
70,84.18539429,28.5729847,2.8549614,0.600867299223943,24,0
71,85.17214203,29.23741722,2.8848269,0.592619399885391,24,0
72,86.35858917,30.04643822,2.91564155,0.598464788632943,24,0
73,87.54501343,30.85709,2.9442718,0.59941142210913,24,0
74,88.53837585,31.54438019,2.97311926,0.605257254998917,24,0
75,89.74271393,32.36375427,2.99909496,0.597417465695681,24,0
76,90.74934387,33.05511475,3.02436709,0.601816609417297,24,0
77,91.97245789,33.87952805,3.04829764,0.593081725600135,24,0
78,93.19730377,34.71181488,3.06929207,0.596836939496206,24,0
79,94.23227692,35.40524292,3.08012605,0.590304099176237,24,0
80,95.4929657,36.25024414,3.09234595,0.590492716955165,24,0
81,96.54517365,36.9513855,3.10180306,0.587785046997743,24,0
82,97.81136322,37.79646301,3.10894322,0.588522467523836,24,0
83,98.84867096,38.48981476,3.11100101,0.589211809753657,24,0
84,100.09453583,39.33161926,3.11546397,0.594215859675402,24,0
85,101.3581543,40.17242432,3.13201046,0.587121509143993,24,0
86,102.63529205,41.02155304,3.12621546,0.586756718065119,24,0
87,103.90558624,41.89253235,3.12803268,0.601031151252613,24,0
88,105.15745544,42.77330017,3.12669563,0.6131126886471,24,0
89,106.41153717,43.66413116,3.12304783,0.617635388295409,24,0
90,107.66968536,44.5981369,3.1108036,0.638597060973627,24,0
91,108.91929626,45.56184387,3.1034081,0.65693515871348,24,0
92,110.15964508,46.56249237,3.09345651,0.678841843722757,24,0
93,110.96608734,47.24463654,3.09328103,0.702090667305286,24,0
94,112.13618469,48.28978729,3.08653879,0.729054878442877,24,0
95,113.27742767,49.35959625,3.07923007,0.753101689365623,24,0
96,114.39208984,50.48418427,3.07189226,0.789830801177549,24,0
97,115.65683746,51.85577393,3.06759882,0.8259026942335,24,0
98,116.70929718,53.07414246,3.06430364,0.858329504812197,24,0
99,117.38504028,53.9070816,3.06021953,0.889217807755063,24,0
100,118.51777649,55.40333557,3.05359769,0.922799679630531,24,0
101,119.125,56.27858734,3.0416007,0.964263750500576,24,0
102,120.00334167,57.63084412,3.02458048,0.994746212198371,24,0
103,120.55383301,58.55330658,3.01261878,1.03276047292596,24,0
104,121.46183777,60.20929718,2.98130631,1.06924757500254,24,0
105,122.17102051,61.66954803,2.94998884,1.11868787819012,24,0
106,122.61569214,62.6639328,2.9217248,1.15028776846837,24,0
107,123.33853149,64.41668701,2.87995625,1.17964449601912,24,0
108,123.96811676,66.21746063,2.83126259,1.23446067287229,24,0
109,124.28754425,67.24639893,2.81288195,1.26978584040943,24,0
110,124.58126831,68.29131317,2.78382206,1.29676906779574,24,0
111,124.83602905,69.33964539,2.76060438,1.33240225148096,24,0
112,125.20861053,71.19112396,2.71960688,1.37221396994612,24,0
113,125.38806152,72.25370789,2.69535136,1.40349325029171,24,0
114,125.52362823,73.32051849,2.66230774,1.44439716269579,24,0
115,125.63524628,74.38509369,2.62827253,1.4663305069758,24,0
116,125.71645355,75.44934082,2.59200811,1.49463900586346,24,0
117,125.77184296,76.51229858,2.55340338,1.51873465489634,24,0
118,125.79710388,77.57242584,2.51656437,1.54697263913522,24,0
119,125.79788971,78.63153076,2.46680522,1.57005435133905,24,0
120,125.75992584,79.69319916,2.42258978,1.60653978599636,24,0
121,125.68470764,80.74742126,2.37288618,1.64202510247279,24,0
122,125.58592224,81.79308319,2.31348944,1.66498841503276,24,0
123,125.45557404,82.83714294,2.26633072,1.69500111786461,24,0
124,125.24658966,84.13220215,2.20224094,1.73078761437717,24,0
125,125.03329468,85.16504669,2.15337086,1.7744456869244,24,0
126,124.78520966,86.17849731,2.08173513,1.81086775547042,24,0
127,124.45762634,87.45057678,1.98479652,1.8228381124666,24,0
128,124.17304993,88.46161652,1.92499352,1.8451667728923,24,0
129,123.74615479,89.71417999,1.83006382,1.89926714687022,24,0
130,123.29721069,90.9593277,1.72319055,1.91684305058415,24,0
131,122.81040955,92.19116211,1.61117196,1.94714402067644,24,0
132,122.40290833,93.17319489,1.52396095,1.96412966959611,24,0
133,121.85573578,94.38748932,1.41169786,1.99415695970623,24,0
134,121.28148651,95.60543823,1.29125118,2.01137594324952,24,0
135,120.80032349,96.56788635,1.21340764,2.03439319722832,24,0
136,120.16744995,97.76428986,1.10095453,2.05735826252036,24,0
137,119.51552582,98.95236206,0.98933434,2.07265961424213,24,0
